Barcode,Title,Volume,Copy,Year of Publication,Author,Subject
801,Inflation Report Second Quarter 2015,Volume 1,1,2015,Bangko Sentral ng Pilipinas,NA
802,Towards a true and clean sporting environment in Southeast Asia,Volume 1,1,2015,UNESCO,NA
803,Promoting thinking in schools philosophy for children in Asia-Pacific,Volume 1,1,2015,UNESCO,NA
804,SPEI Selected Philippine Economic Indicators 2014 Yearbook,Volume 1,1,2014,Bangko Sentral ng Pilipinas,NA
805,PJEPA Strengthening the Foundation for Regional Cooperation and Economic Integration,Volume 2,1,2014,Erlinda M. Medalla,NA
806,Historical Bulletin Vol. XLVII,Volume 1,1,2014,NCCA,NA
807,2013 Annual Report,Volume 1,1,2014,UNESCO,NA
808,2014 Annual Report,Volume 1,1,2014,UNESCO,NA
809,Youth as movers of creative industries in Southeast Asia,Volume 1,1,2014,UNESCO,NA
810,Rice the Filipino Grow and Eat,Volome 2,1,2013,John C. De Leon,NA
